Comment Title,Comment Body,Poster,Date,Time,Recs
,just to clear this up…who’s brazzo? lol,Gianluca ,"Aug 12, 2007 ", 5:28 PM,
,just to clear this up…who is brazzo?? lol,GioStoppani ,"Aug 12, 2007 ", 5:29 PM,
,"nice recap, gianfranco. i know she’s slutty and i know she’s a drunk, but i love seeing lyndsey lohan’s ta-ta’s.
antonio nocerino is a monster. saw him play a few u-20 matches and about a half dozen matches when he was on loan to piacenza last year. the guy has everything you’d want in a midfielder. he fights for every ball, his motor never stops running…he’s not as gifted in terms of crossing balls as some but man, what he doesn’t have in supreme skill he more than makes up for it in superhuman determination. i really thought my napoli were close to signing him before ranieri did a 180 and pulled him back in. our loss is your gain. enjoy him.",Joe ,"Aug 12, 2007 ", 6:52 PM,
,"Brazzo is Hasan Salihamidzic.
Joe- I cracked up when I read your first line, Im sure you’re not the only one who enjoys them haha. But on Nocerino, when earlier in the summer I read about Fiorentina, Udinese, and Napoli I was pissed because he had done nothing short of prove his skill, and you dont just go out and sell a young prospect like that. I sure am glad he stayed especialy with the uncertanties with Tiago and he can play on the wing in Camo’s spot as well.",gianfranco z ,"Aug 13, 2007 ", 8:05 AM,
,"The following quote showed up in my mailbox as a google alert for “Mexes” (for my blog about the France NT):
“The backline was as usefull as a Lindsay Lohan rehab stint”
I thought, ""That sounds like something that would show up on The Offside.
When I looked closer, lo and behold…",Laurie ,"Aug 13, 2007 ", 9:41 PM,
,brazzo is salihamidzic…. he told us to call him that cause it is easier to pronounce..,Bianco ,"Aug 17, 2007 ", 1:07 PM,
,"Laurie, you know its true only at the Offside do you find such no nonsense journalism ha! I love it though everyone has their own witty sense of humor on here, its tremendous",gianfranco z ,"Aug 19, 2007 ", 11:14 AM,
,anyway/anywhere to watch this in New York? I’d love to watch this game.,Mike ,"Aug 11, 2007 ", 1:27 PM,
,"We brushed them!!!
Forza Juve per sempre!",Chxta ,"Aug 11, 2007 ", 1:46 PM,
,"we didnt have anyone u goof, No De Rossi,Mancini,Perrotta,Pizzaro next time will be different considering this was a friendly.",Stefan ,"Aug 11, 2007 ", 1:48 PM,
,"yeah, the next time will be different: you won’t score 2 goals",Mike ,"Aug 11, 2007 ", 1:54 PM,
,"no will score 5 ,Roma put curci in net 2nd half why u think u won , so shut up , cicinho is coming and then u wont even reach the net.",Stefan ,"Aug 11, 2007 ", 2:10 PM,
,"Stefan, 5-2 is quite a stomping by any standard, whatever the team fielded may be. I don’t think Roma’s problem was that they didn’t have De Rossi, Perrotta etc. but rather that they let their guard down against an opponent that will leave you no chance if you underestimate him.
Concerning Juve, I was pleasantly surprised to finally see the Bianconeri pick it up, after the less-than-brilliant performances in the UK and the Birra Moretti trophy. And about the new signings: we already knew of the value & skills of Almiron from his time at Empoli, but the real surprise for me is the way Nocerino is playing. I’m getting quite fond of this guy… :D",Marco ,"Aug 11, 2007 ", 11:39 PM,
,Thanks much for the research and insight into the progress of juve’s young ones. I am curious to see how and when a transition will take place. What will the bianconeri do with their last three or four tuneups? Do you think we will start seeing Claudio’s first eleven? Will it be three up front to start or only sometimes?,marco ,"Aug 10, 2007 ", 9:34 PM,
,"Marco- With important players like Camoranesi and Nedved still looking to be match fit, players like Tiago, Andrade, and Grygera trying to get adapted to Italian Calcio, youngsters trying to make a mark (Nocerino, Criscito, Palladino, Chiellini) and throw in a new coach its a new road ahead. With all these components Mister Ranieri will experiment to find the right mix and it will get better with stiffer competition ahead. Roma on Saturday, Trofeo Tim (Milan & Inter) on the 14th, and Trofeo Berlusconi with Milan on the 17th. It will only get better",gianfranco z ,"Aug 10, 2007 ", 10:02 PM,
,"Ok, my friend , I copied your article so lots of others on juventuz.com can read your precious work with no bad intentions and I , as you can see, provided the link from where I took the article. And I think i did no harm by putting your nickname instead your homepage as a link from where I took the article.",xcen3x ,"Aug 21, 2007 ", 11:15 AM,
,"That is fine xcen3x, no hard feelings",gianfranco z ,"Aug 21, 2007 ", 1:13 PM,
,"so what do you think, should we be concerned after 2 consecutive losses during preseason?? buffon told the fans not to worry but im kinda starting to worry. this is juve and juve are a victorious team so hopefully they are saving all their great playing skills for the regular season. hopefully.",sofia ,"Aug 3, 2007 ", 6:34 AM,
,draw with sunderladnd……….disgraceful to say the least,Gianluca ,"Aug 4, 2007 ", 12:10 PM,
,what channel is the roma juve game on?,Gianluca ,"Aug 12, 2007 ", 5:33 PM,
,"Honestly, I think it will come down to Juve and Palermo for the 4th spot.",kevin ,"Sep 27, 2007 ", 2:05 PM,
,excellent writing!! great result unfortunately i couldnt watch the game but still probably (from what i’ve read) great performance. FORZA JUVE!!! I LOVE YOU PALLADINO!!!:D,sofia ,"Sep 27, 2007 ", 3:18 PM,
,Not a chance kev… and dont quote me on that either lol.,roberto ,"Sep 27, 2007 ", 4:09 PM,
,"What comes to my mind in these, the dog days of fall. is the reasoning behind why we all love sports so much in the first place. Because everyone always has a chance no matter how small it might be. I have been noted many a time to drop old allegiances in order to cheer for an underdog when their story strikes my fancy. for these very reasons this year following juve will be exciting for us all. Sure they cheated a bit but htat was a few years back and it simply shows how bad they wanted to win. Now they have a chance to get back into the race and prove themselves amongst other teams who were just as guilty but not as harshly repromanded. The underdog’s gonna fight for his bone this year brother…",Maximus ,"Sep 27, 2007 ", 5:06 PM,
,"How can Juventus be the underdogs!?!
That’s like the Yankees being the Underdogs…
don’t give me this sentimental bullshit about how much pitty you have for Juve…
Cheating doesn’t show your unbelievable will to win MAximus it shows your fuckin’ scared of loosing because you don’t believe in yourself(wich is fucking stupid if you have a team with the likes of Ibrahimovic,Cannavaro,Buffon,Trezeguet,Zambrotta and even that little pinturiccchio that you guys love so much…
still it was a nice win in Reggina, at least Juve knows how to put away a victory against the smaller
and i can’t wait for that idiot Ultra Serb to comment…",Marco420 ,"Sep 27, 2007 ", 5:17 PM,
,"Marco240 i agree 100% with you about how juve cheated with the great squad that they had. There isnt any excuse. I thought that juve’s performance wasent that entertaining. Although they scored 4 goals only two were good. Brazzo had a right place at the right time kind of thing and sadly thats the way juve are looking to be at this point in the season. Nedved and king ADP’s days are looking to be over their just cant keep up with the pace. we have great young players but you still cant even compare them to de rossi, aquilani, or montilivo. In january we need atleast 1 wolrd class player that can actually make a big difference in the midfeild. and other than a defender that is not injury proned we need rosina that kid is fuck’n awesome. Oh and yea UltraSerb will once again leave one of his brilliantly thought up comments, sadly :(",adam ,"Sep 27, 2007 ", 8:19 PM,
,"I wouldn’t get too excited yet Roby, it was only Reggina that the Bianconeri were facing. Agreed, we got a lot of nice surprises from players who weren’t exactly performing to expectations. You quoted some of them, I’ll add my 2 cents:
Legrottaglie: From what I’ve read, he’s improved a lot these last few seasons. He seemed like a really promising youngster when Juve bought him (was playing amazing with Chievo and even scored a goal with the Azzurri at the time). After he came to Juve though he turned into a big flop, causing goals and leaks everywhere, which caused the ‘Old Lady’ to ship him off into 4 years of loan deals. But he’s back now, and I was happy at his defensive work Sunday. His goal was a bonus, so let’s hope he keeps this up and that we don’t regret Andrade too much.
Criscito: With Juve’s limited resources in defense, it’s a real joy to see this youngster developing so quickly. Getting a starting lineup spot even in a team such as this one (plagued by injuries at the back) is no easy feat. If Ranieri’s putting his faith into Criscito it’s because he sees the kid’s got talent, and I can only agree. He got schooled by Totti against Roma last week-end (regardless of the offside position), but that’s just inexperience. He just needs to grow, and he’s on the right track.
Tiago: I didn’t watch the game attentively enough (I had it on streaming while I was flicking between Palermo-Milan and Fiorentina-Roma on FSC/TLN), but I’m really glad that the Portuguese midfielder played well. It seems that he’s on the way back to the player we bought (the one doing wonders at Lyon), not the player we saw in pre-season.
Salihamidzic: Another pre-season flop. Bad passing, bad placement, a lot of doubts. Then he played a really good game as a right-back (don’t remember against whom, but it was Serie A) and then got injured. But from what I saw Sunday, he played really well, hussling after the ball, and deservedly scored a goal. Way to go. For a player than can transform into a right-back as an emergency, it’s one of the few luxuries Juve have left (considering the state of the defense).
Nocerino: An amazing pre-season, which made me fall in love with him instantly. Then a horrible game against Udinese, balls gifted to the opposition, etc. (but in his defence, that was a game in which everyone played badly). However against Reggina: nice plays and a beautiful deep pass for Palladino’s goal (I almost though that was Nedved the pass so good). The lad’s got heart, Juve need to mold him while they still have time.
Palladino: Speed, agility, ball control, and good finish, these are the trademarks of Raffaele. The future of Juve undoubtedly, but he’s still too inexperienced to be given a starting role. Although, with the fact that the Bianconeri have only 4 strikers this season (how stupid was it to sell Miccoli huh?), he’ll sure get a big chunk of playing time (also because Capitan Del Piero just can’t hold a full 90 minutes anymore).",Marco ,"Sep 27, 2007 ", 8:27 PM,
,"Marco, thanks for your two cents. Come back anytime.",roberto ,"Sep 27, 2007 ", 9:39 PM,
,"Maximus, your poetic words truly connected with me. Glad to have you aboard my brother.",roberto ,"Sep 27, 2007 ", 9:45 PM,
,"Roma got thumped 4-1 today. hopefully they’ll take it like men, or perhaps they’ll blame Juve for bribing Giuly to commit a foul.
Forza Juve",roberto ,"Sep 29, 2007 ", 11:05 AM,
,"Heheh. 4-1. That was indeed, pretty damn funny. A draw would have been a better result for us as far as the table is concerned, but the ass wiping has a much greater amusement factor for me. We can always trounce Inter later.
And Guily getting tossed was most definitely Juve’s fault. Just like Milan losing to Palermo was all Juve’s fault. Bloody brilliant. :D /sarcasm
As for our game last Wednesday, it’s good to see the guys starting to gel as a team. And who knew Legrottaglie had it in him??! Good stuff. Should be a great derby tomorrow!",deb ,"Sep 29, 2007 ", 12:12 PM,
,"Seriously, this website makes me hate Roma",kevin ,"Sep 29, 2007 ", 3:52 PM,
,well then Kevin my job here is done. haha,roberto ,"Sep 29, 2007 ", 4:31 PM,
,"As usual rules are bent for Juventus and the media hosts do not admit it while all major experienced commentators e.g. Capello, said it was obvious offside.",Chico ,"Oct 1, 2007 ", 6:47 PM,
,"Eh Chico, another cerveza per favor. How did you get into the states again? Container or caravan? I guess you never had access to any rule books in Mexico City.",roberto ,"Oct 1, 2007 ", 10:40 PM,
,"Mancini—- Bitch
Totti——- Offside
Cicinho—- Midget Fuck trying to waste our time
FORZA JUVE!",roberto ,"Sep 25, 2007 ", 8:47 AM,
,"First off, Chris can lick his mothers cock because he has 2 dads. Not only are his comments towards juve foul but he dresses like a drag queen.
p.s.
Thanks for coming out and I mean into this world because you were a mistake.",Ultra Serb ,"Sep 25, 2007 ", 10:04 AM,
,"Chris if you haven’t noticed, there’s a reason why you’ll never see me write the name ‘Roma’ anywhere in my blogs… you’re nobodys
Go get ass play from Man U again… 7-1 is an embarassment to Italian Top Flight
FORZA JUVENTUS>> ROMA MERDA",roberto ,"Sep 25, 2007 ", 10:16 AM,
,reduced to cock jokes and personal insults? pathetic.,Joe ,"Sep 25, 2007 ", 12:04 PM,
,"Hold on there buddy… but did you know Joe rhymes with SLOW, which is what you are, you stupid mother fucker.",Ultra Serb ,"Sep 25, 2007 ", 12:09 PM,
,"ooh ooh!
Ultra serb make up a rhyme with my name
Marco F-O-U-R-T-W-E-N-T-Y!
Thanx in advance!",Marco420 ,"Sep 25, 2007 ", 1:51 PM,
,Let the men say what they feel Joe.,roberto ,"Sep 25, 2007 ", 3:07 PM,
,"So well said brother! Pavel’s hair is glorious, as are his balls. No not those balls you fag… i meant his through balls of course.",Maximus ,"Sep 21, 2007 ", 7:52 PM,
,"La storia ci insegna che
la lupa romana è
una cagna bastarda che muore allattando
due figli di troia alè!
…
Forza Juve .. Facci Sognare",BIanco ,"Sep 22, 2007 ", 12:31 AM,
,Sognate..sognate…Juventini,Marco420 ,"Sep 22, 2007 ", 7:24 AM,
,"We know what you meant Maximus.
You love balls. No matter what kind.",Anthony ,"Sep 22, 2007 ", 8:05 AM,
,Ahah I love that picture…,Marco ,"Sep 22, 2007 ", 2:47 PM,
,"Thanks for the feed back… next time I’ll try and post a picture of Nedved’s balls just for you Maximus!
Forza Juve",roberto ,"Sep 22, 2007 ", 7:04 PM,
,"Se se ve facciamo 8-0…nun c’e’ piu Don Moggi.
Tanto a Nedved ce pensa Filippo",Vlad ,"Sep 23, 2007 ", 5:49 AM,
,Cheats!!!,Bashar ,"Sep 23, 2007 ", 10:25 AM,
,"This is our turf bashar, are you lost or something???",roberto ,"Sep 23, 2007 ", 2:41 PM,
,Good performance against Roma.. I can’t wait until Juve faces Palermo!,kevin ,"Sep 24, 2007 ", 2:09 PM,
,Does anyone actually think that the Cicinho foul was legit? Doesn’t that taint this draw?,Soumi ,"Sep 24, 2007 ", 8:39 PM,
,I’m posting this awesome video i found on the next article… watch it and then you tell me what roma fans would have thought if Mancini was awarded a p.k.,roberto ,"Sep 24, 2007 ", 10:11 PM,
,"Juve did nothing to deserve this Chris…
Oh wait never mind. But I think we paid a big enough price already last year, quit screwing with us karma! :(",Marco ,"Sep 18, 2007 ", 2:28 PM,
,"I don’t think we did anything to deserve this. Nocerino did not suffer a concussion though according to news reports out of Juventus thankfully. I am hoping he can play on Sunday for the Roma game. We really need him on the midfield considering we don’t have Camoranesi.
I’m going with horribly insensitive futbol gods. We paid our dues.",Asmah ,"Sep 18, 2007 ", 2:53 PM,
,"Friends, I am in need of some help.
I am planning a trip to Italy in late April from the states to see some matches. A few of which will be in torino. The problem is that i need to be certain of match days. I was in Italy last spring and was shocked at how many matches were changed from saturday to sunday or sunday to monday.
Is there anyone or any website that could provide me with accurate match day forecasts. This is important to me because i need to be exact with my planning.
I really would appreciate any help! Thanks!
Bianconeri per Sempre
Michael",Mike ,"Sep 20, 2007 ", 6:42 PM,
,"“under a soiled mattress (like most neapolitans)”??
really?? you have to throw this type of garbage in your article??",Mike ,"Oct 30, 2007 ", 1:23 PM,
,and i didn’t even read the bottom… you’ve got to be kidding with this nonsense…,Mike ,"Oct 30, 2007 ", 1:25 PM,
,Why would you write that shit?,Joe ,"Oct 30, 2007 ", 2:07 PM,
,i was in a very dark place what can i say?,roberto ,"Oct 30, 2007 ", 2:16 PM,
,"Don’t listen to those guys Roberto. Passion is one emotion you are never short on, and for that you’ve gained my loyalty. Mark and Joe need to relax for Christ sake. This was an embarassment, not only for the ref, but for Italian football altogether. Every non-juventini is trying to sugarcoat this incident, but I knew I could count on Roberto to tell it how it REALLY is.
p.s. That Moratti is a real fuck, his comments were beyond laughable. Holla at ya boy Roberto.",R. J. ,"Oct 30, 2007 ", 2:38 PM,
,Give me the guns let me kill him.,Chxta ,"Oct 30, 2007 ", 3:01 PM,
,"Its nice to see Juve crying over officiating for once!!
Karma BITCH",KJ Ventimiglia ,"Oct 30, 2007 ", 3:02 PM,
,"You gotta be kidding, though? A taste of your old medicine really shouldnt be that bitter.. You knew it was coming..
And there is no sugarcoating, believe me… Its “here’s what it feels like you cheating fucks!!”",KJ Ventimiglia ,"Oct 30, 2007 ", 3:12 PM,
,"R.J, how does us having to relax about having our city insulted have anything to do with what did or didn’t happen in the game? The city of Naples is the villain here? How? By accepting the three points? I’ve never seen Juve voluntarily hand back a result like this. Come on…",Mike ,"Oct 30, 2007 ", 3:18 PM,
,"Mike hello? anybody in there? This has been going on for centuries. Do you neglect to admit Roma, Inter, Milan, NAPOLI fans hate me being from Torino and hate my city?",roberto ,"Oct 30, 2007 ", 3:25 PM,
,Mike you don’t believe me? look at what that genius KJ ventimiglia has to say… relax dude your not gonna change jack,roberto ,"Oct 30, 2007 ", 3:28 PM,
,"R.J. thanks man, you like that axis of evil shit eh? I threw that one in for everybody from the U.S.! respect.",roberto ,"Oct 30, 2007 ", 3:30 PM,
,K-A-R-M-A.,mele419 ,"Oct 30, 2007 ", 3:31 PM,
,"What mele and KJ said. You had to know it was coming eventually, right?",Martha ,"Oct 30, 2007 ", 3:46 PM,
,Chxta keep them guns high. Nice website you got there & gald to see someone like yourself is holding it down representing Nigerian Juventini.,roberto ,"Oct 30, 2007 ", 3:47 PM,
,Martha… If your asking me whether or not I believe at some point in time my team did something to deserve this… i’ll say no comment. If your asking me that I should have known these goonies were eventually gonna write this stuff like karma as comments… I’d be a fool to think otherwise.,roberto ,"Oct 30, 2007 ", 3:57 PM,
,"I was feelin that Axis of Evil line for sure, good call Roberto. As for all this “Karma” talk, that’s just ridiculous. A more appropriate term would be retribution, as Karma has nothing to do with one fucking idiot official blantantly taking at least one point away from Juve.
Mike, those were obviously jokes, and Roberto was obviously heated after watching that “work” of a match. That being said, relax, homeboy. If I got upset everytime someone talked shit on my country(USA), I’d be pretty pissed off all the time.",R.J. ,"Oct 30, 2007 ", 4:56 PM,
,…a perceived retribution if I may ammend my previous statement on the subject.,R.J. ,"Oct 30, 2007 ", 5:00 PM,
,"You’re a fool regardless. Slagging off an opponent is one thing…taking a dig at fans is another if it’s done with just a modicum of humor or you do something to soften the blow… you’re bordering on something else.
Thank you for solidifying my understanding into the psyche of the typical Juventus fan.
Jackass.",Joe ,"Oct 30, 2007 ", 5:01 PM,
,"I don’t get this. What’s the point? If you want to be fully accurate and truly lay claim to an objective argument, why not put Juventus on this list for robbing calcio for years of its integrity? Or how about for clearly rigging transfers? Which to this day still impacts the league, and not only impacted Juventus opponents, but the entire league. Or for only being forced to spend one season in Serie B when their illegal activities were spread out over a larger frame of time?
The only “travesty” here is that Juventus is still allowed in Serie A; any fan who thinks otherwise is simply ignorant, arrogant, or flat out stupid. Likely all three.
And this isn’t a personal vendetta against you or Juve. My family was from the area. I “sympathized” with Juventus pre-Calciopoli, or I never hated them to the extent that most did, but call a spade a spade. If this is the worst thing that happens to Juve, then the true scandal is just that. It was an embarrassment to a country and a sport and they never paid the price. You can’t lose championships you never won.
And this: “Juventus is fiercly loved by it’s fans”…then why the fuck don’t they ever show up?
If I was a Juve fan, I’d realize how grateful I should be that I’m being allowed to watch my team play Inter, Roma, Milan and Napoli instead of Mantova, Pisa and Brescia, and sit quietly in the corner until enough time has passed where this could almost, maybe become a legitimate gripe. Until then, welcome to our world for the last however many years. Sucks, doesn’t it?",chris ,"Oct 30, 2007 ", 5:24 PM,
,"Joe, Chris… like i said… you either love us or hate us. Thanks for proving my point for me.",roberto ,"Oct 30, 2007 ", 5:33 PM,
,"Great post! I’m speaking as a non Serie A fan here, so all this karma and vendetta business is over my head. Suffice it to say that I was very amused by your post and liked the wanted ads.",Inara ,"Oct 30, 2007 ", 5:34 PM,
,"Actually, I don’t hate Juve… Im a Palermo fan, yes, but I still root for Juve when they play other European competition.
However, being a fan of a Serie A team, I have to hear about corruption and cheating as a result of well, Juve. Serie A was the top league in Europe pre-caliopoli, in my opinion. Not anymore, and Juve takes alot of that blame.",KJ Ventimiglia ,"Oct 30, 2007 ", 5:52 PM,
,"Inara, Thank you. I’m gald to see someone has a sense of humour.",roberto ,"Oct 30, 2007 ", 6:00 PM,
,KJ you hear what they want you to hear. Think about it.,roberto ,"Oct 30, 2007 ", 6:12 PM,
,"I have family from Naples, but I know you were joking and I don’t see what’s wrong with that.
I understand your frustration even if I have no sympathy for your club.",Nolan ,"Oct 30, 2007 ", 6:32 PM,
,"big props to Nolan for having his head screwed on straight and having a sense of humor…no one was asking Napoli to give the points back, but just to realize the bullshit that took place. REGARDLESS of what has happened in previous years, bullshit is bullshit. Just because Juve had some la cosa nostra shit going on doesn’t mean its ok to fuck them out of games now that they paid their dues in serie B. whether or not you think dues have been paid is another issue.
Roberto, these other bags of douche should probably boycott your blog if it’s that offensive, then we wouldnt have this fucking cry baby problem.
Reppin Juve in the Second City!",R.J. ,"Oct 30, 2007 ", 7:53 PM,
,"yes, this is officially the greatest post and resulting controversy in the history of the offside. Thank you roberto…Thank you for making me crack up like never before…",Musab ,"Oct 30, 2007 ", 8:00 PM,
,"who’s the cry babies again, RJ?",KJ Ventimiglia ,"Oct 30, 2007 ", 8:19 PM,
,"ha, not crying…just pointing out the horrible officiating. if you think those calls were legit, you got problems.
if you remember correctly, this whole debate began when some dudes took exception to bashing of Naples and its inhabitants.",R.J. ,"Oct 30, 2007 ", 8:28 PM,
,"I hate to post again. I’ve completely come off as a crybaby with no sense of humor when i was half-breaking balls… but I was asked a question by roberto so ill answer it… i have to take issue with the whole “roma, inter, milan, and napoli fans hate you and hate your city”. you can’t, on any honest intellectual level, compare hatred of torino with the hatred and denigration of naples. the fact that you keep it in footballing terms shows that we’re talking over each other. it has absolutely nothing to do with fans hating a squad and the city it comes from in a sporting sense(ti odio verona), its about fans hating people and the city they come from. i thought your comments veered closer to the latter. if thats not what you were going for, then i apologize.",Mike ,"Oct 30, 2007 ", 9:17 PM,
,Mauro Bergonzi should be put in charge of every juve game.,patcook ,"Oct 31, 2007 ", 1:16 AM,
,"Bitter much?
Suck shit. About time your useless bunch of wankers got what they deserved. Cheating bastards, I love watching Juventus lose more than seeing Milan lose.
Bergonzi for Grand Imperial Poobah.",Mick ,"Oct 31, 2007 ", 6:24 AM,
,"Amazing post. I laughed too much. I saw the Milano Roma match too, amazing dives, italians players probably trained for NT match here. Great theatrical gestures, sometime i had the feeling a romanista just had lost his mother in the instant such he was crying, gesticulating like actors of horrors pictures,near dead, and by an extraordinary miracle, he woke up, and few second later another of his teammate suddenly died and the strange ballet of bully guys and young effiminate men falling in love with the pich continued. I thought Calcio put the dive at the level of an art, there should exist a trophy and an artistic notation for italian players. These two napolitan dives are pure beauty, so Napolitan in their spirit they remind me of the best of Maradona. I think you were a little bit rude toward Naples, some Napolitans don’t have the possibility to understand humour, and otherwise Napoli is a fantastic place where you can find a prostitute in almost each house, protected by her bother jealous.",Thierry ,"Oct 31, 2007 ", 7:07 AM,
,"“strange ballet of bully guys & young effiminate men falling in love with the pitch”… Thierry i should let you know I’ll be using that in the future. As per your comment I must return the favour, I too had a good laugh reading it.",roberto ,"Oct 31, 2007 ", 8:18 AM,
,"Mick you like watching Juventus lose more than Milan eh?… Aside from the latter, you must be pretty fucking depressed thus far. Go fuck a kangaroo",roberto ,"Oct 31, 2007 ", 8:20 AM,
,"you know its funny how all these non-juve fans are maing a joke outta this when if it werre their team they would be shitting themselves.
and dont come at me with that KARMA bullshit because we cheated and payed our price last season in serie b so all those fucking interista who think they are innocent my ass because im sure you were part of it just didnt get caught because the man in charge was an interista himself so fuck you and your karma shit i know about karma because i believe in it which is why inter is going to be barrelled into the ground on sunday",sofia ,"Oct 31, 2007 ", 12:24 PM,
,"haha, there it is…i was waiting for sofia to chime in.",R.J. ,"Oct 31, 2007 ", 2:21 PM,
,whats that supposed to mean R.J?,sofia ,"Oct 31, 2007 ", 6:00 PM,
,R.J. and I have been holding down the fort in your absense. We could have used an extra gun though,roberto ,"Oct 31, 2007 ", 6:53 PM,
,"Ohhh this win feels good heading into sunday
Trezeguet! Trezeguet! Quando Gioca Segna Sempre Trezegueeeeeeeet!
FORZA JUVE YOU MOTHERFUCKERS!!!!!!",roberto ,"Oct 31, 2007 ", 6:59 PM,
,"Sofia, I just meant that we needed your voice earlier. Like Roberto said, we needed that extra firepower.
We held it down in your absence, but I can’t believe the fucking wack-jobs that came out of the woodwork on that one, haha.",R.J. ,"Oct 31, 2007 ", 8:12 PM,
,"The most ridiculous part of your post was this line: “Juventus is fiercly hated by everyone else. Simple as that. Whether out of jealously, or whatever, hatred is there in a big way.” While the fact that you are hated by most other Serie A fans for the damage you did to the league’s reputation (I was going to say integrity but that would have been overdoing it) and the historical chances of many other teams is undeniable, you must be out of your mind to wonder if it is “Out of jealousy?” You do realize that most of us would rather stop watching football forever than want to trade places with a team that fixed the league for decades, only to have its fans consider a year in Serie B with half its all-star roster intact afterwards to be adequate punishment? Right.
Of course those penalty calls were awful, nobody can deny that. You got screwed and that’s unquestionable, and the ref should be taken to task for it. But don’t tell me you weren’t looking for the opportunity to be morally righteous, since god knows you’ve never had a fair chance to relish that feeling before.
Speaking of blatantly blown (read: fixed) results, I’d be happy to retroactively give you a point in the draw column for the Napoli match if you’d kindly give Roma the 1980-81 Scudetto back. But then I didn’t exactly see Paolo Bergamo on your most wanted list, even though you guys certainly could have used him against Napoli…",Joba ,"Oct 31, 2007 ", 8:37 PM,
,"You suckers don’t even know what you are taking about I’m sick of these Inter and pensioner Milan who hase lose the championship, because of Juve, than you are an idiots they are doing the same thing as Juve did, but only not so good, but they where not or not so guilty as Juve just because of the persons that stend’s behind.
Because of this all circus last year i’m not waching A-s. any more, but when i look in the news and sow these penalty’s – it’s not a football it’s joke and everthing around the italian football become a joke.
But still GO JUVE",kashmar ,"Nov 1, 2007 ", 5:17 AM,
,"roberto, R.J – sorry about that one..i know usually i am the first one to beat down those interista bastards but i have been busy nursing a broken/fractured foot so i have my excuse.. its nice to hear that i was missed:D..but no worries when we kick some ass on sunday the game will speak for itself. i need all juventini to go home and pray to whatever God you believe in because we are gonna need all the supernatural powers we can get with those filty lying cheating sons of bitches that are also known as inter milan.",sofia ,"Nov 1, 2007 ", 11:44 AM,
,"“most of us would rather stop watching football forever than to want to trade places with a team that fixed the league for decades” Joba, man when will you fucking guys get it. We dont give a shit about you non-juve guys… In my mind there’s two columns you can fall into.. the first is where i’m from (bet you can tell), the second is a hazey sespool of everyone else i really dont give a fuck about. go shit on someone else’s blog you hear me? Maybe you should try and win some scudetti to get your voice heard, instead of crying foul and trying get us to give you some crumbs… what was that joba?? i can’t hear you can you speak up??? hahah shit i’m listening to too much DMX lately",roberto ,"Nov 1, 2007 ", 11:53 AM,
,"kashmar… it took me a while to figure out you are on our side reading your comment hahah. glad though to hear it. forza juve!!
Sofia… i’m planning on breaking my foot too this weekend… hopefully in some interista’s ass!",roberto ,"Nov 1, 2007 ", 11:56 AM,
,"In case you guys want to see the highlights against empoli here’s the link:
http://www.dailymotion.com/relevance/search/juventus+empoli/video/x3cxhp_juventusempoli-30",roberto ,"Nov 1, 2007 ", 11:59 AM,
,roberto i hope you dont break it b/c it hurts like a bitch so how about we leave that job to ADP when he puts 43959847235794837258495 past inters keeper whoever should play and maybe we can throw trez iaquinta and palla a couple each too.. thanks for the highlights:),sofia ,"Nov 1, 2007 ", 1:04 PM,
,"Ha I’ll give you this, you’re a fantastic belligerent stereotype for your bandwagon fan base. Also, I hope you realize you wrote this into a blog comment: “what was that joba?? i can’t hear you can you speak up?? hahah shit i’m listening to too much DMX lately” That’s approaching borderline derangement, you’re rapping rhetorical conversation onto a web page. Also, so that you stop sounding like the ostensibly uneducated Neapolitan terroni that you keep insulting (and trust me I’d take a Neapolitan over a Juventino any day) “hazey sespool” is actually spelled hazy cesspool. Oh the irony…",joba ,"Nov 1, 2007 ", 1:30 PM,
,"Joba, you’re a punk. Put your fucking thesaurus away, this isn’t English class. So what Roberto said means less because he may have misspelled a word? Wow, bro, if that’s the case you certainly suck. Go eat some frogs and surrender your country again.",R.J. ,"Nov 1, 2007 ", 2:05 PM,
,"Oh shit! I think i left out a comma, fuck me…sorry Joba.",R.J. ,"Nov 1, 2007 ", 2:19 PM,
,"Joba, try not to start a comment on this webpage with “bandwagon fan base”. maybe then i’ll read more then the first sentence.",roberto ,"Nov 1, 2007 ", 4:06 PM,
,"Haha you don’t get it either, R.J. It means less not because it’s spelled incorrectly but because he’s making fun of Neapolitans for being dumb and dirty when he can’t spell himself. It’s called irony, which apparently Juve fans have never been able to appreciate. Or understand.
Also, and correct me if I’m wrong, but my IP address saying I’m in France doesn’t mean I’ve assumed French nationality and take baths in frog legs and pate every night does it? I’m American too, and while you may get me to agree with the majority of your cheese-eating surrender monkey insults, I also take some confort in the fact that they would laugh at you just as much as you can’t stand them.
Time to go chop up some frogs for my hot tub…",joba ,"Nov 1, 2007 ", 4:15 PM,
,"Joba Chamberlain? Is that you? What happened against Cleveland, bro? You guys blew it and cost Torre his job.",R.J. ,"Nov 1, 2007 ", 5:51 PM,
